templateName,layerName,kmlStyleName,type,notes
mining_and_petroleum_template.kml,MTA_LOT_STATUS_FI,ls_[LOT_STATUS],rovingPoint,"roving lookat element,"
mining_and_petroleum_template.kml,MMS_NOTICE_OF_WORK,#[APPLICATION_TYPE],staticPoint,
parks_and_recreation_template.kml,TA_PARK_ECORES_PA_C,eco_reserves,rovingPoint,"style map"
parks_and_recreation_template.kml,TA_PARK_ECORES_PA_ECO_C,provincial_parks,rovingPoint,"style map"
parks_and_recreation_template.kml,TA_PARK_ECORES_PA_PROTECTED_C,protected_areas,rovingPoint,"style map"
parks_and_recreation_template.kml,TA_CONSERVANCY_AREAS_C,conservancy_areas,rovingPoint,"style map,<LookAt> element in placemark"
parks_and_recreation_template.kml,TA_TA_PARK_ECORES_PA_RECREATION_C,recreation_areas,rovingPoint,"style map, <LookAt> element in placemark"
parks_and_recreation_template.kml,TA_WILDLIFE_MGMT_AREAS_C,wildlife_mgmt_areas,rovingPoint,"style map, <LookAt> element in placemark"
water_admin_boundaries_template.kml,WLS_COMMUNITY_WS_PUB_CF,Community_Watershed,polygon,"polygon has tessellate on, no directions"
waste.kml,EMS_MONITORING_LOCN_TYPES_W_MONITORING,EMS_map,staticPoint,"<LookAt> element in each placemark"
